ano;mes;estado;municipio;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);Unnamed: 19
2014;10;MT;Juara;0.14504950495049504;980.6586633663366;981.1331683168316;980.3611386138615;1583.7272277227723;29.495544554455446;20.06089108910891;30.19529702970297;28.417821782178216;20.935148514851484;19.352970297029703;65.62128712871286;57.193069306930695;60.272277227722775;275.29455445544556;4.730445544554455;1.6452970297029703;
2014;10;MT;Juina;0.20562659846547315;969.7260869565218;970.1918158567775;969.4475703324808;1557.358823529412;28.099488491048593;20.994117647058825;28.8846547314578;27.03606138107417;21.84015345268542;20.14526854219949;72.6086956521739;63.529411764705884;67.42966751918159;205.3759590792839;4.427621483375959;1.2941176470588236;
2014;10;MT;Nova maringa;0.19420289855072465;972.7876811594202;973.2384057971014;972.5183574879227;1504.1606280193237;29.814975845410626;18.66473429951691;30.464251207729472;28.69782608695652;19.393478260869564;17.89009661835749;60.33816425120773;53.106280193236714;55.734299516908216;205.14734299516908;4.676328502415459;1.5304347826086957;
2014;10;MT;Paranatinga;0.1625615763546798;957.4820197044336;957.9110837438424;957.1854679802956;1609.6773399014778;29.732758620689655;17.247783251231528;30.444088669950737;28.537684729064036;18.170689655172414;16.441133004926108;57.13054187192118;49.00246305418719;51.80049261083744;158.77093596059115;5.909113300492611;2.4251231527093595;
2014;10;MT;Pontes e lacerda;0.24058679706601466;979.8075794621027;980.2909535452322;979.4755501222494;1488.1506112469438;28.83422982885086;20.413691931540345;29.6559902200489;27.75427872860636;21.329339853300734;19.623716381418095;67.99266503667482;59.33740831295844;62.97555012224939;250.2078239608802;5.152322738386308;1.5378973105134475;
2014;10;MT;Querencia;0.0;971.2266666666667;971.2333333333333;970.4933333333333;472.1933333333334;24.39333333333333;17.853333333333335;24.56;21.8;18.373333333333335;16.946666666666665;78.06666666666666;67.33333333333333;69.13333333333334;132.73333333333332;2.3666666666666667;1.1466666666666667;
2014;10;MT;Rondonopolis;0.16609336609336608;978.2410319410319;978.6783783783783;977.9773955773956;1493.4742014742014;30.486240786240785;23.784766584766583;31.18820638820639;29.326289926289924;24.544471744471746;22.779606879606877;71.47174447174447;66.62899262899263;68.71253071253071;160.26289926289925;5.418427518427519;1.8798525798525798;
2014;10;MT;S.j. do rio claro;0.004123711340206186;972.4082474226805;973.3494845360824;972.3979381443299;653.5463917525773;35.16804123711341;16.737113402061855;35.409278350515464;33.85670103092784;18.19278350515464;15.948453608247423;40.4639175257732;32.98969072164948;34.597938144329895;182.50515463917526;6.101030927835051;2.12680412371134;
2014;10;MT;Salto do ceu;0.2601990049751244;976.8432835820895;977.2910447761194;976.5450248756218;1471.0062189054727;29.04502487562189;20.800497512437808;29.91144278606965;27.90671641791045;21.637064676616916;19.90945273631841;68.43781094527363;61.27114427860697;64.23383084577114;200.09950248756218;5.112189054726368;1.698507462686567;
2014;10;MT;Sao felix  do araguaia;0.77;989.35375;989.7674999999999;988.95875;1085.4012500000001;24.12875;21.45375;24.72625;23.673750000000002;21.835;20.93375;88.075;82.475;85.8375;183.575;5.04625;2.00625;
2014;10;MT;Sinop;0.11773399014778324;969.3830049261084;969.8320197044335;969.0812807881773;1525.3805418719212;29.50837438423645;18.463054187192117;30.30714285714286;28.36970443349754;19.30689655172414;17.735714285714284;61.330049261083744;53.71182266009852;56.529556650246306;170.9630541871921;6.039655172413793;2.5165024630541875;
2014;10;MT;Tangara da serra;0.0637037037037037;961.3854320987654;961.8138271604938;961.1022222222223;1369.3782716049382;29.354074074074074;18.54074074074074;30.224691358024693;28.17975308641975;19.360493827160493;17.814074074074075;61.34074074074074;53.14567901234568;56.37283950617284;158.50617283950618;6.541481481481482;3.0150617283950614;
2014;10;MT;Vila bela da santissima trindade;0.7026315789473683;987.7381578947369;988.2947368421052;987.3881578947369;1343.45;28.567105263157895;21.657894736842106;29.52236842105263;27.431578947368422;22.371052631578948;20.87763157894737;73.69736842105263;64.5;68.6842105263158;202.82894736842104;5.406578947368421;1.9105263157894736;
2014;10;PA;Belem;0.2331632653061224;1008.7073979591836;1009.0928571428572;1008.426530612245;1350.5048469387755;29.359948979591838;22.77576530612245;30.261989795918367;28.273724489795917;23.582397959183673;22.007397959183674;73.49744897959184;65.31122448979592;68.9515306122449;127.78571428571429;4.8834183673469385;1.1178571428571429;
2014;10;PA;Braganca;0.01293532338308458;1007.2320895522388;1007.5310945273632;1006.9534825870646;1562.0514925373134;29.54502487562189;21.957213930348257;30.329850746268658;28.60422885572139;22.56268656716418;21.399751243781097;68.57960199004975;61.982587064676615;64.77363184079601;56.01990049751244;8.292288557213931;2.922139303482587;
2014;10;PA;Capitao poco;0.08217821782178218;1002.184405940594;1002.5470297029703;1001.8891089108911;1583.6106435643562;29.144554455445544;21.048019801980196;30.122772277227725;27.93168316831683;21.823019801980198;20.241584158415844;68.89108910891089;60.57178217821782;64.04950495049505;105.70297029702971;7.066584158415842;3.1304455445544557;
2014;10;PA;Castanhal;0.1123076923076923;1005.9984615384616;1006.3702564102565;1005.7066666666666;1396.9894871794872;29.40692307692308;21.623846153846152;30.242564102564103;28.348205128205127;22.37153846153846;20.977179487179487;69.51282051282051;61.08205128205128;64.66923076923077;81.08717948717948;7.099230769230768;2.8902564102564106;
